Requirement ID,Requirement Name,Status,Comments
"REQ-035","Temporary Closure Administrator Interface","Accurate",""
"REQ-036","Finance Line After-Hours Definition","Accurate",""
"REQ-037","Customer Service Line After-Hours Definition","Accurate",""
"REQ-038","After-Hours Routing Behavior","Accurate",""
"REQ-039","After-Hours Message Requirements","Accurate",""
"REQ-040","After-Hours Voicemail Processing","Accurate",""
"REQ-041","Maximum Queue Time Setting","Accurate",""
"REQ-042","Queue When No Agents Logged In","Accurate",""
"REQ-043","Queue When All Agents Not Ready","Accurate","Agree: Hold customer in queue as agents may become ready momentarily."
"REQ-044","Hold Music and Announcement Intervals","Accurate","We have talked about possibly adding advertisements at times, and will likely need instructions/best practices on doing so. It makes sense not to do this initially though."
"REQ-045","Hold Announcement Content Options","Accurate",""
"REQ-047","Music on Hold File","Accurate",""
"REQ-046","Voicemail Option During Hold","Accurate",""
"REQ-048","Finance Queue Configuration","Accurate",""
"REQ-049","Customer Service Place Order Queue Configuration","Accurate",""
"REQ-050","Customer Service Questions Queue Configuration","Accurate",""
"REQ-051","Deprecate Regional Routing Logic","Accurate",""
"REQ-052","Agent Queue Assignment","Accurate",""
"REQ-053","Voicemail Queue Structure","Accurate",""
"REQ-054","Finance Voicemail Greeting","Accurate",""
"REQ-055","Customer Service Voicemail Greeting","Accurate",""
"REQ-056","Voicemail Access Method","Accurate",""
"REQ-057","Voicemail Playback and Processing","Accurate",""
"REQ-058","Voicemail Callback Tracking","Accurate",""
"REQ-059","Voicemail Recording Length and Capacity","Accurate",""
"REQ-060","Finance Line Call Source Identification","Accurate","I think this is accurate, but if someone is calling the finance number, they're going to finance. If they call the customer service number and press 1, that call should just flow over to the finance queue. There would be no need to label the call, or for the agent to say a special greeting."
"REQ-061","Customer Service Place Order Call Identification","Accurate",""
"REQ-062","Customer Service Questions Call Identification","Accurate",""
"REQ-063","Transferred Call Identification","Accurate",""
"REQ-064","ANI Display Format","Accurate",""
"REQ-065","Standard Call Information Panel","Accurate",""
"REQ-066","NetSuite-Enhanced Information Display","Accurate","VIP status or priority indicators (if customer uses this) -- I'm not aware that we use this, but would be interested in knowing how to note this information in NS so that we can ..."
"REQ-067","NetSuite Package Installation - Sandbox","Accurate",""
"REQ-068","NetSuite Package Installation - Production","Accurate",""
"REQ-069","NetSuite Custom Fields Creation","Accurate","This sounds correct, but may need to verify with NS team on BBC side about conflicts. Off hand, I can't imagine it would conflict with anything."
"REQ-070","Phone Call Activity Logging","Accurate",""
"REQ-071","Custom Five9 Fields Population","Accurate",""
"REQ-072","Phone Call Record Linking","Accurate",""
"REQ-073","ANI Lookup and Screen Pop - Single Match","Accurate",""
"REQ-074","ANI Lookup and Screen Pop - Multiple Matches","Accurate",""
"REQ-075","ANI Lookup and Screen Pop - No Match","Accurate",""
"REQ-076","ANI Lookup and Screen Pop - Mixed Match","Accurate",""
"REQ-077","Click-to-Dial Functionality","Accurate","Note: we do not use any physical phones"
"REQ-078","Multi-Number Click-to-Dial Handling","Accurate",""
"REQ-079","Five9 Adapter Browser Extension","Accurate","Question - can we install extension on both browsers for the same user, so they have a backup browser?"
"REQ-080","Adapter Display During Call","Accurate",""
"REQ-081","Adapter Display Between Calls","Accurate",""
"REQ-082","Multiple Match Hyperlinks Display","Accurate",""
"REQ-083","Holiday Messages","Accurate","Option 1 is the way we've been doing it for a while now."
"REQ-084","Finance Greeting","Accurate",""
"REQ-085","Customer Service Greeting/Menu","Accurate",""
"REQ-086","Finance After-Hours Message","Accurate",""
"REQ-087","Customer Service After-Hours Message","Accurate",""
"REQ-088","Hold Announcements","Accurate",""
"REQ-089","Temporary Closure Messages","Accurate","We prefer the generic template in case of a long meeting, we don't set incorrect expectations."
"REQ-090","Emergency Broadcast Messages","Accurate",""
"REQ-091","Error Handling Messages","Accurate",""
"REQ-092","MS Teams Directory Integration via Azure/Entra","Accurate",""
"REQ-093","PSTN Transfer Configuration","Accurate","I think this is the case (PTSN vs SIP connections)."
"REQ-096","Teams Phone Number Directory Access","Accurate",""
"REQ-094","Azure App Registration for Five9","Accurate","kelimoon@bobbarker.com or michellecorbett@bobbarker.com can do this."
"REQ-095","Teams User Presence/Availability Display","Accurate",""
"REQ-097","External Transfer Workflow","Accurate",""
